                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6233,                 5.6804,                 3.7287,                  2.166,                0.51353,                0.19687,                0.17615,                0.07921,                0.50318,                0.09026,                0.07393,                0.01603,                 2.1099,                 4.9027,                  5.723,                 1.8267,              0.0001429,              0.0001429,              0.0001429
                      2,                  1.666,                 3.1964,                 1.9365,                 1.4421,                0.34012,                0.28737,                0.27729,                0.14036,                 0.2408,                0.22402,                0.19943,                0.05299,                 1.7742,                 5.0991,                 2.5108,                 1.5514,             0.00029712,             0.00029712,             0.00029712
                      3,                 1.5109,                 2.8293,                  1.654,                 1.3261,                0.37477,                0.31319,                0.32661,                0.13721,                0.28186,                 0.2128,                0.17871,                0.04309,                 2.0337,                 6.1624,                 2.5049,                 1.6043,             0.00044823,             0.00044823,             0.00044823
                      4,                 1.4802,                 2.6237,                 1.5316,                 1.3427,                 0.3454,                0.36392,                0.33976,                0.18369,                0.30768,                0.30929,                0.27408,                0.10706,                 1.5314,                  4.327,                 4.8393,                 1.5534,             0.00059622,             0.00059622,             0.00059622
                      5,                 1.5164,                 2.7603,                 1.5054,                 1.3453,                0.18078,                0.19958,                0.10402,                  0.044,                0.48372,                0.11949,                0.05379,                0.01496,                 2.0278,                 5.1994,                 6.4688,                 2.0326,              0.0007411,              0.0007411,              0.0007411
                      6,                 1.4568,                  2.579,                 1.4235,                 1.3003,                0.67149,                  0.344,                0.30046,                0.15574,                0.64944,                0.30451,                0.24889,                0.08528,                 1.5982,                 3.5751,                 2.8772,                 1.5781,             0.00088287,             0.00088287,             0.00088287
                      7,                 1.4245,                  2.514,                 1.4202,                 1.2958,                 0.6466,                0.35328,                0.30184,                 0.1671,                0.55648,                0.28903,                0.19954,                0.08414,                 1.4668,                 3.2919,                 3.1659,                 1.4788,              0.0010215,              0.0010215,              0.0010215
                      8,                  1.469,                 2.5429,                 1.4154,                 1.3228,                0.41078,                0.29284,                0.33982,                0.17778,                0.35574,                0.26648,                0.29198,                 0.1211,                 1.5657,                 2.9968,                 2.5528,                 1.5029,              0.0011571,              0.0011571,              0.0011571
                      9,                 1.4708,                 2.4758,                 1.3766,                 1.2994,                0.34213,                0.42419,                0.34085,                0.14985,                 0.3048,                0.31634,                0.27731,                0.10072,                 1.7535,                 3.2298,                 2.6771,                 1.5921,              0.0012895,              0.0012895,              0.0012895
                     10,                 1.5898,                 2.6059,                 1.4491,                 1.3634,                0.17897,                 0.4912,                0.23879,                0.08278,                 0.1371,                0.15777,                0.09513,                0.03128,                 2.1469,                 6.7086,                 3.9849,                  1.969,              0.0013017,              0.0013017,              0.0013017
